stockcode,bursacode,alias,name,shariah,economicsectorcode,industrygroupcode,hyperlink,address,description
$AIMD,0122,AIM,ADVANCE INFO MKT,1,Consumer Cyclicals,Media & Publishing,https://www.aim-net.com.my/,"No.18, Jalan Balam, Off Jalan Ipoh, KUALA LUMPUR, 51100, Malaysia","Advance Information Marketing Berhad is a Malaysia-based investment holding company. The Company, through its subsidiaries, is a regional Business Process Outsourcing (BPO) solution provider, which offers management services ranging from consultation, technology infrastructure and technical support to procurement and logistics for companies. The Company operates through Managed customer loyalty services segment, which engages in sales and marketing services, client relationship management, and outsourced contact center management. Its geographical locations include Malaysia and Indonesia. The Company’s wholly owned subsidiaries include Angkara Setia Development Sdn. Bhd., which provides outsourced procurement and fulfillment services through local suppliers and mail order programs, including warehousing and distribution services, and PT CLS System, which provides integrated solutions in the management of customer loyalty services."
$ADVA,1481,ASB,ADVANCE SYNERGY,1,Technology,Software & IT Services,http://www.asb.com.my/,"Level 3, West Wing, Wisma Synergy, No.72, Pesiaran Jubli Perak, Seksyen 22, SHAH ALAM, 40150, Malaysia","Advance Synergy Berhad is a Malaysia-based investment holding company. The Company provides full corporate and financial support to the Company, property development and investment, owner and operator of hotels and resorts, travel and tours and related services, money services, payment card issuing and acquiring and related services, design and development of telecommunications software applications and systems, the provision of solutions and services for the telecommunications industry, design, building and fabrication of coaches, and bus maintenance and related services and owns and operates language center. The Company’s geographical segments include Malaysia, Singapore, Africa and Middle East, and Europe. Its wholly owned subsidiaries include Advance Synergy Capital Sdn. Bhd., Advance Synergy Properties Sdn. Bhd., Advance Synergy Realty Sdn. Bhd., Alam Samudera Corporation Sdn. Bhd., Alangka-Suka Hotels & Resorts Sdn. Bhd., Calmford Incorporated and Datakey Sdn. Bhd."
$ADVN,5281,ADVCON,ADVANCECON HLD,1,Industrials,Construction & Engineering,http://www.advancecon.com.my/,", PETALING JAYA, 47810, Malaysia","Advancecon Holdings Berhad is a Malaysia-based company, which mainly operates in the construction industry. Via its subsidiary, Advancecon Infra Sdn Bhd, the Company partakes in the provision of earthworks and civil engineering services. The Company's regular business activities include various types of construction works, including building works, road and pavement construction, bridge and jetty construction, pilling works, soil investigation, sewerage system, general civil engineering works, tower structures, rock blasting works, precast concrete installation works, earthworks and water retaining structures. Its major projects are namely Setia EcoHill, Setia Eco Garden, Cyberjaya Flagship Zone, Lekas Highway, Eco Majestic, Bukit Jalil Sports Complex, Nilai Impian and Desa Park City. Besides, the Company is engaged in the leasing of construction machinery and equipment."
$ADVE,7191,ADVENTA,ADVENTA BHD,1,Healthcare,Healthcare Equipment & Supplies,http://www.adventa.com.my/,"No 21, Jalan Tandang 51/205A, Seksyen 51, PETALING JAYA, 46050, Malaysia","Adventa Berhad is a Malaysia-based company that is engaged in investment holding and provision of management services. The Company's segments include Healthcare and Corporate. The Healthcare segment involves the supply of healthcare and related products, services to hospitals, healthcare centers and pharmacies. This includes the renal dialysis business, which is for home and center-based treatments, serving both the domestic and export markets. It is engaged in the distribution of medical and healthcare equipment, appliances and medical disposal products through Sun Healthcare (M) Sdn. Bhd. It is engaged in the provision of home dialysis products for the treatment of end stage renal disease and its related services through Lucenxia (M) Sdn. Bhd. It is engaged in the provision of storage and warehousing services through PTM Progress Trading & Marketing Sdn. Bhd. It also owns various other subsidiaries."
$AEMU,7146,AEM,AE MULTI HLDGS,1,Technology,Semiconductors & Semiconductor Equipment,http://www.amallionpcb.com/en/About-AE-Multi-Holdings-Berhad.php,"Lot 87 Persiaran 11, Kawasan Perusahaan Bakar Arang, SUNGAI PETANI, 59200, Malaysia","AE Multi Holdings Berhad is a Malaysia-based investment holding company. It is engaged in the provision of management services to its subsidiaries. The Company operates through four segments: Manufacturing, General construction, Glove manufacturing business solution, and Investment and others. The Manufacturing segment is involved in the manufacturing and trading of printed circuit boards and its related products and provision of technical services. The General construction segment is involved in the construction, project management and related activities. The Glove manufacturing business solution segment is involved in the engineering, procurement, construction and commission on a turnkey basis of glove production line and provision of glove supplementary services. The Investment and others segment is involved in the investment holding. Its subsidiaries include AE Corporation (M) Sdn Bhd, AE Multi Industries Sdn Bhd, AE Resources Development Sdn Bhd and AE Resources Energy Sdn Bhd."
$AEML,0181,AEMULUS,AEMULUS HOLDINGS,1,Technology,Semiconductors & Semiconductor Equipment,http://www.aemulus.com/,"No. 25, Jalan Sultan Azlan Shah, Zon Perindustrian Bayan Lepas, Phase 1,, BAYAN LEPAS, 11900, Malaysia","Aemulus Holdings Berhad is a Malaysia-based investment holding company. The Company, through its subsidiary Aemulus Corporation Sdn. Bhd. (ACSB) is principally involved in designing and development of automated test equipment, test and measurement instruments, and the provision of design consultancy and test- related services. It operates in one reportable business segment, being the electronic tester segment. Its geographical segments include Malaysia, China, Singapore, Korea, USA, Taiwan, and Others. The Company primarily focuses on radiofrequency (RF), and mixed signal semiconductor test markets, followed by automotive and lighting markets."
$AEOM,6599,AEON,AEON CO. (M) BHD,1,Consumer Cyclicals,Diversified Retail,http://aeonretail.com.my/,"3rd Flr, AEON Taman Maluri Shopping Ctr, Jalan Jejaka, KUALA LUMPUR, 55100, Malaysia","Aeon Co. (M) Bhd. is a Malaysia-based retailer. The Company is principally engaged in the operations of a chain of departmental stores and supermarkets selling a range of goods ranging from clothing, food, household goods, other merchandise and shopping center operations. The Company operates through two segments: Retailing and Property management services. Its Retailing segment is engaged in the operations of a chain of departmental stores and supermarkets selling a range of goods ranging from clothing, food, household goods and other merchandise. The Property management services segment is engaged in shopping mall operation. Its Property management Services segment leases its mall space to other retail brands and generates monthly rentals. It also undertakes facility management and related services. It also operates MaxValu standalone supermarkets and health and beauty stores. The Company is also the franchisee for Daiso flat price shops."
$ANCR,5139,AEONCR,AEON CREDIT,0,Financials,Banking Services,https://www.aeoncredit.com.my/,"Level 18, UOA Corporate Tower, Avenue 10, KUALA LUMPUR, 59200, Malaysia","AEON Credit Service (M) Berhad is primarily engaged in the provision of easy payment schemes, personal financing schemes and issuance of payment cards under the international brand names of Visa and MasterCard. The Company’s personal financing schemes and certain easy payment schemes are based on Islamic principles. It offers products, such as product financing, which includes auto financing, motocycle financing and objective financing; personal financing; credit cards; prepaid cards and AEON wallet, which includes AEON member plus visa card, AEON member plus card (XPRESS+) and AEON prepaid MasterCard; small and medium enterprises (SME), and insurance. The Company operates approximately 65 branches and service centers. It operates over 192 cash deposit machines."
$AFIN,5185,AFFIN,AFFIN BANK,0,Financials,Banking Services,https://www.affingroup.com/homepage,"17th Floor, Menara Affin, 80., Jalan Raja Chulan, KUALA LUMPUR, 50200, Malaysia","AFFIN Bank Berhad (the Bank) is a Malaysia-based financial holding company. The principal activities of the Bank are banking and related financial services. The principal activities of the subsidiaries are Islamic banking business, investment banking and stock-broking, money-broking, fund and asset management, property management services, nominee and trustee services. The Bank's segments include Commercial Banking, Investment Banking, Insurance and Others. The Commercial Banking segment focuses on the business of banking in all aspects, which includes Islamic Banking operations. Its activities are structured into three areas, such as corporate banking, enterprise banking and community banking. The Investment Banking segment focuses on the business of a merchant bank, stock-broking, fund and asset management. The insurance segment includes the business of underwriting all classes of general and life insurance businesses in Malaysia."
$AGES,7145,AGES,AGESON BERHAD,1,Industrials,Construction & Engineering,https://www.agesonberhad.com,"No. 83 & 85, Jalan SS15/4C, KUALA LUMPUR, 50470, Malaysia","Ageson Berhad is a Malaysia-based investment holding company. The Company, through its wholly owned subsidiaries, is principally involved in the mineral resources trading, property development and engineering, procurement, construction, and commissioning (EPCC). The Company’s segment includes Construction and Property Development. The construction projects include, construction of residential and commercial properties, including landed properties, high-rise properties, transportation hubs, and infrastructure works based on contracts entered with principals. Its property development activities include development of properties from land acquisition to handover of completed property units to purchasers. It is also engaged in general trading and sand mining and trading and export of sand."
$AGMO,0258,AGMO,AGMO HOLDINGS,0,Industrials,Professional & Commercial Services,https://www.agmo.group/,", PETALING JAYA, 47820, Malaysia","Agmo Holdings Berhad is a Malaysia-based digital solutions and application development specialist. The Company's solutions involve digitalizing its customers’ business operations through the development of mobile and Web applications, provision of digital platform-based services, as well as provision of subscription, hosting, technical support and maintenance services. Its business includes Agmo Studio, Agmo Digital Solutions, Agmo Capital, Agmo Tech and Agmo Sierra. Agmo Studio is principally involved in the business of providing computer and mobile software applications and services related to information technology. Agmo Digital Solutions is principally involved in software development, reselling of third-party software and provision of information technology-related services. Its products and services include Vote2U, Eat2U, Agmo Health and Agmo Loyalty. Agmo Capital is principally involved in the investment holding business. It operates in Malaysia, Hong Kong, Singapore and others."
$ARTW,7315,AHB,AHB HOLDINGS,1,Industrials,Professional & Commercial Services,http://www.ahb.com.my/,"10 Persiaran KLCC, Level 16, Naza Tower, Platinum Park, KUALA LUMPUR, 50088, Malaysia","AHB Holdings Berhad is a Malaysia-based investment holding company. The Company operates as an office interior company. The Company's segment is the business of office interior products, office furniture and specialized computer finance. It products range includes System MX-DWS, Desking COVID-Panels, Meeting COVID-Panels, Workstation COVID-Panels, Electronic Sit-to-Stand , System MXV2, Chess, Cube, System B21, System T1, System b3, EX21, EX22, EX30 and VTor. The Company has operations in South-Eastern Asia, the Middle East, South-Central Asia, Europe and America. The Company's subsidiaries include AHB Technology Sdn. Bhd., AHB Marketing Sdn. Bhd., Create Space Sdn. Bhd. and AHB Distribution Sdn. Bhd. AHB Technology Sdn. Bhd. is engaged in trading of office furniture and specialized computer furniture. AHB Marketing Sdn. Bhd., Create Space Sdn. Bhd. and AHB Distribution Sdn. Bhd. are engaged in trading of office interior products."
$AZRB,7078,AZRB,AHMAD ZAKI RESOU,1,Industrials,Construction & Engineering,https://www.azrb.com,"Menara AZRB, No. 71, Persiaran Gurney, KUALA LUMPUR, 54000, Malaysia","Ahmad Zaki Resources Berhad is a Malaysia-based company, which is engaged in investment holding, providing management services and as contractor of civil and structural works. Its segments include Engineering and Construction, Concession, Oil and Gas, Plantation and Property. The Engineering and Construction is engaged in civil and structural works. Its Concession segment includes concession and assets managements. The Oil and Gas is engaged in the dealing in marine fuels, lubricants, petroleum-based products and logistics management and vessel related services. The Plantation segment is engaged in the production of crude palm oil and kernel. The Property segment is engaged in property development, hotel operation and facilities management. Its subsidiaries include Peninsular Precast Sdn. Bhd, AZSB Machineries Sdn. Bhd and Kemaman Technology & Industrial Park Sdn. Bhd. The Peninsular Precast Sdn. Bhd. is engaged in fabricating and marketing of Industrial Building Products and system."
$AIMF,0209,AIMFLEX,AIMFLEX BHD,1,Industrials,"Machinery, Equipment & Components",http://i-stone.com.my,"12-2, Jalan Persiaran Teknologi, Taman Teknologi Johor, Senai, 81400, Malaysia","AIMFLEX Berhad is a Malaysia-based investment holding company. Its segments include Manufacturing and Distribution. Manufacturing segment is engaged in manufacturing of automation machines and precision parts. Distribution segment is engaged in distribution of manufacturing automation hardware and software. It is engaged in the distribution of statistical analysis software, wireless communication devices and robotic arms through Bizit Systems (M) Sdn. Bhd. It is engaged in manufacturing and modification of specialized automation machines, provision of maintenance and technical support services and supply of spare parts through AIMFLEX Systems Sdn. Bhd. It is involved in marketing and supply of industrial automation test equipment and related parts through AIMFLEX Solutions Sdn. Bhd. It is focused on the design and fabrication of metal panels and frames through AIMFLEX Metal Sdn. Bhd. It is focused on the design and fabrication of precision parts through AIMFLEX Engineering Sdn. Bhd."
$AIRX,5238,AAX,AIRASIA X BHD,1,Industrials,Passenger Transportation Services,http://www.airasiax.com/,"Lot PT16, Jalan KLIA S7, Southern Support Zone, KLIA, SEPANG, 64000, Malaysia","AirAsia X Berhad is a Malaysia-based company, which is engaged in providing long haul air transportation services. The Company's segments include Malaysia, Thailand and Indonesia. It serves approximately 26 destinations across Asia (Singapore, Bali, Sapporo, Tokyo, Osaka, Nagoya, Fukuoka, Seoul, Busan, Jeju, Taipei, Xi’an, Beijing, Hangzhou, Chengdu, Shanghai, Chongqing, Changsha, Wuhan, New Delhi and Amritsar), Australia (Sydney, Melbourne - Avalon and Perth), the Middle East (Jeddah) as well as the United States of America. It is engaged in the provision of management logistical and marketing services through AirAsia X Services Pty Ltd. It is engaged in the provision of aircraft leasing facilities through AAX Mauritius One Limited, AAX Leasing One Ltd, AAX Leasing Two Ltd, AAX Leasing Three Ltd, AAX Leasing Four Ltd, AAX Leasing Five Ltd, AAX Leasing Six Ltd, AAX Leasing Seven Ltd, AAX Leasing Eight Ltd, AAX Leasing Nine Ltd, AAX Leasing Ten Ltd and AAX Leasing Eleven Ltd."
$AJIN,2658,AJI,AJINOMOTO MSIA,1,Consumer Non-Cyclicals,Food & Tobacco,https://www.ajinomoto.com.my/,"Lot 5710, Jalan Kuchai Lama, Petaling, KUALA LUMPUR, 58200, Malaysia","Ajinomoto (Malaysia) Berhad is a Malaysia-based company primarily engaged in manufacturing and selling AJI-NO-MOTO products, and other seasonings and food items. The Company operates through two segments, including Consumer business and Industrial business. The Consumer business segment consists of manufacture and distribution of consumer products, including Aji-nomoto, flavor seasoning Tumix, menu seasoning Seri Aji and other seasonings. The Industrial business segment consists of manufacture and distribution of monosodium glutamate for industry-use, industrial seasonings and related products. The Company offers retail products under the brands, such as AJI-NO-MOTO, Rasa Sifu, TUMIX, Seri-Aji, AJI-SHIO, AJI MIX and aminoVITAL. The Company’s industrial products include hydrolyzed vegetable protein (HVP), AJI-AROMA, AJIMATE and ACTIVA TG. The Company’s products are used in a range of processed food, such as instant noodles, soup, snack, sauce, dairy products, processed meat and seafood."
$AJIY,7609,AJIYA,AJIYA BHD,1,Consumer Cyclicals,Homebuilding & Construction Supplies,http://www.ajiya.com,"Lot 153, Kawasan Perindustrian, Jalan Genuang, SEGAMAT, 85000, Malaysia","Ajiya Berhad is a Malaysia-based investment holding company. The Company, through its subsidiaries, is engaged in manufacturing and trading of roofing materials, manufacturing and trading of all kinds of glass, trading of building materials and investment holding. Its segments are Malaysia and Thailand. The Company’s solutions include metal division and glass division. Metal division is engaged in manufacturing of metal roofing system, metal frame products, structural products, roof tile effect products, architectural products, light-weight channel products and Ajiya Green Integrated Building System (AGiBS). Glass division is engaged in the production of tempered and laminated safety glass, insulating safety glass, decorative safety glass, heat strengthened glass, curve tempered safety glass, Attoch, security, safety and storm protection safety glass that are used for industrial, commercial, recreational, office and residential buildings, as well as furniture and white goods."
$ALQA,5116,,AL-AQAR HEA REIT,1,,,http://www.alaqar.com.my/,"Lot G12-14, Block G (North), Level 5, Pusat Bandar Damansara, PETALING JAYA, 46200, Malaysia","Al-Aqar Healthcare REIT (the Fund) is a Malaysia-based real estate investment trust. The Fund's objective is to provide unitholders with stable distributions per unit and the potential for sustainable long-term growth of distributions and net asset value per unit. The Fund seeks to diversify its Shariah-compliant real estate portfolio by property and location type. The Fund is primarily focused on investing in real estate which is primarily used for healthcare purposes and continue to look for opportunities that provide attractive returns. Its portfolio consists of approximately 23 properties, which comprise over 17 hospitals, approximately three wellness/health centers, over two colleges, and one aged care and retirement village. Damansara REIT Managers Sdn Berhad serves as manager for the Fund."
$ALSA,5269,,AL-SALAM REAL,1,,,http://www.alsalamreit.com.my/,"Level 16, Menara KOMTAR, Johor Bahru City Centre, PETALING JAYA, 46200, Malaysia","Al-Salam Real Estate Investment Trust (Al-Salam REIT) is a real estate investment trust. The principal activity of the Al-Salam REIT is to invest in Shariah-compliant properties. Its objective is to provide unitholders with regular and stable income distributions, sustainable long term unit prices and distributable income and capital growth. The Al-Salam REIT’s segments include Retail outlets, Office buildings, Food and beverage (F&B) properties, which comprises of restaurant and non-restaurant outlets, and Others comprising Fund level operations. Al-Salam REIT is engaged in investing directly and indirectly, in a diversified shariah-compliant portfolio with income producing real estate which are used primarily for commercial retail, office and industrial purposes in Malaysia as well as real estate-related assets. Its properties include KOMTAR JBCC, @Mart Kempas, Mydin Hypermart Gong Badak, and Menara KOMTAR. Damansara REIT Managers Sdn Berhad is the manager of the Al-Salam REIT."
$ALMT,5115,ALAM,ALAM MARITIM RES,1,Energy,Oil & Gas Related Equipment and Services,http://www.alam-maritim.com.my/,"38F, Level 2, Jalan Radin Anum, Bandar Baru Sri Petaling, KUALA LUMPUR, 57000, Malaysia","Alam Maritim Resources Berhad is a Malaysia-based investment holding company. The Company’s segments include: Offshore support vessels and services and Sub-sea services. The Offshore support vessels and services segment is engaged in the provision of vessels for charter hire, assisting seismic operators in seismic survey related activities, transportation of crew and supplies, towing and mooring of rigs offshore, anchor-handling services and other support, repair and maintenance services for the oil and gas industry. The Sub-sea services segment is engaged in the provision of offshore facilities construction and installation services such as marine construction related services, sub-sea engineering services and offshore pipeline construction related services and designing, manufacturing, and operating of remotely operated vehicles. It provides a range of services, such as offshore marine and offshore construction, subsea engineering and underwater services."
$ALCO,2674,ALCOM,ALCOM GROUP,0,Basic Materials,Metals & Mining,https://alcom.com.my/,"No. 3 Persiaran Waja, Bukit Raja Industrial Estate, KLANG, 41050, Malaysia","Alcom Group Berhad is a Malaysia-based investment holding activities. The Company’s subsidiaries include Aluminium Company of Malaysia Berhad, SCLand Development Sdn. Bhd. and AGB Builders Sdn. Bhd. Aluminium Company of Malaysia Berhad is a Malaysia-based, which is engaged in manufacturing and trading of aluminium sheet and foil products. SCLand Development Sdn. Bhd. is a Malaysia-based, which is an investment holding. AGB Builders Sdn. Bhd. is a Malaysia-based, which is engaged in building and construction business. The Company operates through three segments: manufacturing, property development and construction. manufacturing segment is involved in aluminum specialty products, such as tread plate, flat sheet, coils, stucco embossed sheets/coils, painted sheet/coils, cladding sheet and capacitor coil. Construction segment’s principal activities include supply, fabrication and installation of architectural roof, facade cladding systems, and steel structure."
$ALDR,0079,ALRICH,ALDRICH RESOURCE,1,Technology,Software & IT Services,https://aldrich.my/,"Block D-G-1,UPM-MTDC Technolgy,Ctr Three, Universiti Putra Malaysia,Lebuh Silikon, SHAH ALAM, 40150, Malaysia","ALDRICH Resources Berhad is engaged in the provision of computerized maintenance management systems (CMMS) and other information technology (IT) services, such as systems integration, support services and training. The Company's geographical segments include Malaysia and the United States. In addition, it is also engaged in managing movable and immovable assets over their life cycles for asset owners. The Company is focused on developing financial technology (fintech) solutions, specializing in financial transaction management systems (FTMS), big data analysis, artificial intelligence (AI) and blockchain technology. Its clients include various industries, including healthcare, oil and gas, property development and construction, hospitality, consultancy, government agencies, and local authorities. Its subsidiaries include Aldrich Minerals Sdn Bhd, which is engaged in mining business, and Aldpro Corporate Services Sdn Bhd, which provides share registration and other services."
$ALLI,2488,ABMB,ALLIANCE BANK,0,Financials,Banking Services,https://www.alliancebank.com.my/,"3rd.Floor, Menara Multi-Purpose, Capital Square, 8, Jalan Munshi Abdullah, KUALA LUMPUR, 50100, Malaysia","Alliance Bank Malaysia Berhad is engaged in the banking business and the provision of related financial services. The Company’s segment includes Consumer Banking, which offers personal banking solutions, such as mortgages, term loans, personal loans, hire purchase facilities, credit cards and wealth management (cash management, investment services, share trading, bancassurance and will writing); Business Banking, which offers small and medium enterprise (SME), corporate and commercial banking; Financial Markets, which provides foreign exchange, money market, hedging and investment (capital market instruments) solutions for banking customers; Stockbroking and Corporate Advisory, which offers stockbroking activities and corporate advisory which includes initial public offering, equity fund raising, debt fund raising, mergers and acquisitions and corporate restructuring. The others include alternative distribution channels and trustee services."
$AINM,1163,ALLIANZ,ALLIANZ MALAYSIA,0,Financials,Insurance,https://www.allianz.com.my/,"Suite 3A-15, Level 15, Block 3A, Plaza Sentral, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, KUALA LUMPUR, 50470, Malaysia","Allianz Malaysia Berhad is an investment holding company. The Company's segments include Investment holding, which is engaged in investment holding; General insurance, which includes underwriting of all classes of general insurance business; and Life insurance, which includes underwriting of all classes of life insurance and investment linked business. Its general insurance products include car and motorcycle, roadside assistance, home insurance, personal insurance, and hospital and surgical. Its business insurance products include fire and property, engineering and machines, workers and employees, liability, marine and bond. Its life insurance products include protection, medical and critical illness, savings, retirement, employee benefits, and investment and investment funds. Its subsidiaries include Allianz Life Insurance Malaysia Berhad, Allianz General Insurance Company (Malaysia) Berhad and Bright Mission Berhad."
